Thrust_0Deg,Thrust_90Deg,Thrust_180Deg,Thrust_270Deg,Total Weight (Kg),Thrust (N),RPM,ESC_Torque (Nm),Motor Temp (°C),Current (A),Vdc (V),Vout (V),IGBT Temp (°C),RPM Command,Battery Volt (V),Battery Bus Volt (V)
-0.37,-0.71,0.03,-0.03,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.03,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.03,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.03,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.03,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.02,-0.02,-1.08,-10.584000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.02,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.02,-0.03,-1.0999999999999999,-10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.03,-1.0899999999999999,-10.681999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.72,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.02,-1.07,-10.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.02,-1.07,-10.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.02,-1.07,-10.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.02,-1.07,-10.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.37,-0.71,0.03,-0.02,-1.07,-10.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,-0.71,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,-0.71,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,-0.71,0.03,-0.02,-1.0799999999999998,-10.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
