Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM168,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546
2025-09-03 14:37:58.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.501,1.02,0.0,0.0,0.0,1.02,9.996,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.552,1.02,0.0,1.61,0.0,2.63,25.774,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.602,1.02,0.0,1.61,0.0,2.63,25.774,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.653,1.02,0.0,1.61,0.0,2.63,25.774,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.703,1.02,0.0,1.61,0.0,2.63,25.774,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.753,1.02,0.0,1.61,0.0,2.63,25.774,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.804,1.02,0.0,1.61,0.0,2.63,25.774,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.854,1.02,0.0,1.61,-0.11,2.52,24.696,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.905,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:58.955,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.005,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.056,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.106,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.156,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.207,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.257,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.307,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.358,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-03 14:37:59.408,1.02,-1.71,1.61,-0.11,0.81,7.938,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
